"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-20705.5856087291,1099,42048.4493281604,41762.5757439689,42138.4493281604,24840.9770646691,"-","1","-","-","-","-"
"model 2",-18986.3456490783,1008,39254.3283874576,38679.4048459169,39435.3283874576,21402.4971453674,"0.912","0.489","0.511","-","-","-"
"model 3",-18528.2573579531,917,38982.5107838061,38118.5372849162,39254.5107838061,20486.320563117,"0.898","0.117","0.505","0.377","-","-"
"model 4",-18288.3208744741,826,39146.996795447,37993.9733392079,39509.996795447,20006.4475961591,"0.883","0.492","0.133","0.276","0.099","-"
"model 5",-18088.6130585069,735,39391.9401421114,37949.8667285231,39845.9401421114,19607.0319642247,"0.853","0.209","0.145","0.093","0.223","0.329"
