"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-26570.0078520556,1215,53785.6719528893,53499.784933606,53875.6719528893,35128.1894347707,"-","1","-","-","-","-"
"model 2",-23845.1637536011,1124,48988.8139630782,48413.8634020752,49169.8139630782,29678.5012378618,"0.938","0.394","0.606","-","-","-"
"model 3",-23140.997366593,1033,48233.3113961598,47369.2972934371,48505.3113961598,28270.1684638455,"0.908","0.322","0.371","0.307","-","-"
"model 4",-22661.1220165558,942,47926.3909031833,46773.3132587409,48289.3909031833,27310.4177637712,"0.928","0.302","0.24","0.186","0.272","-"
"model 5",-22333.7261579057,851,47924.4293929811,46482.2882068189,48378.4293929811,26655.626046471,"0.912","0.213","0.178","0.197","0.14","0.271"
