"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-15679.0090595723,882,31977.1601415461,31691.3202917412,32067.1601415461,18753.7255546102,"-","1","-","-","-","-"
"model 2",-14034.8643902178,791,29314.892181043,28740.036483102,29495.892181043,15465.4362159012,"0.925","0.366","0.634","-","-","-"
"model 3",-13463.8530164809,700,28798.890811775,27935.0192656979,29070.890811775,14323.4134684273,"0.913","0.371","0.135","0.494","-","-"
"model 4",-13179.111843487,609,28855.4298439931,27702.5424497799,29218.4298439931,13753.9311224394,"0.951","0.378","0.129","0.226","0.266","-"
"model 5",-12980.9667224656,518,29085.1609801563,27643.257737807,29539.1609801563,13357.6408803968,"NaN","0.087","0.21","0.166","0.154","0.384"
