"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-16817.0134272745,826,34247.8283273696,33961.9997749735,34337.8283273696,21231.0780492311,"-","1","-","-","-","-"
"model 2",-15575.8686831551,735,32386.1603283162,31811.3273507195,32567.1603283162,18748.7885609923,"0.901","0.512","0.488","-","-","-"
"model 3",-15228.7157607474,644,32312.4759726862,31448.638569889,32584.4759726862,18054.482716177,"0.855","0.426","0.293","0.28","-","-"
"model 4",-15021.1807454832,553,32518.0274313432,31365.1856033454,32881.0274313432,17639.4126856486,"0.852","0.241","0.407","0.285","0.067","-"
"model 5",-14852.6411188065,462,32801.569667175,31359.7234139767,33255.569667175,17302.3334322951,"0.841","0.198","0.129","0.324","0.242","0.107"
