"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-10364.7192286452,595,21317.0861527339,21031.323698859,21407.0861527339,12461.1264996228,"-","1","-","-","-","-"
"model 2",-9311.34646273715,504,19804.5177351998,19229.8176890736,19985.5177351998,10354.3809678067,"0.918","0.36","0.64","-","-","-"
"model 3",-9039.31597461383,413,19854.633873235,18990.9962348575,20126.633873235,9810.31999156008,"0.878","0.462","0.328","0.21","-","-"
"model 4",-8850.67706966056,322,20071.5331776103,18918.9579469815,20434.5331776103,9433.04218165354,"0.819","0.207","0.281","0.294","0.218","-"
"model 5",-8717.48616451105,231,20399.3284815932,18957.8156587131,20853.3284815932,9166.66037135452,"0.761","0.112","0.193","0.296","0.155","0.244"
