"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-22081.3071294311,1397,44820.0206940437,44534.1168170725,44910.0206940437,24581.9452299639,"-","1","-","-","-","-"
"model 2",-20250.0291210602,1306,41822.1756284297,41247.1911647432,42003.1756284297,20919.3892132221,"0.881","0.669","0.331","-","-","-"
"model 3",-19788.9055652172,1215,41564.6394678716,40700.5744174698,41836.6394678716,19997.142101536,"0.858","0.145","0.28","0.575","-","-"
"model 4",-19521.5562500547,1124,41694.6517886745,40541.5061515575,42057.6517886745,19462.4434712111,"0.847","0.109","0.263","0.058","0.569","-"
"model 5",-19362.3582512278,1033,42040.9667421485,40598.7405183162,42494.9667421485,19144.0474735572,"0.822","0.345","0.105","0.064","0.156","0.33"
