"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17307.6994781104,894,35235.6452869554,34949.8031834036,35325.6452869554,21097.0406103777,"-","1","-","-","-","-"
"model 2",-16567.2667609968,803,34381.9178093601,33807.0575788838,34562.9178093601,19616.1751761507,"0.81","0.344","0.656","-","-","-"
"model 3",-16117.2112744464,712,34108.944792891,33245.0664354901,34380.944792891,18716.0642030498,"0.82","0.146","0.489","0.365","-","-"
"model 4",-15841.850906247,621,34185.362013124,33032.4655287985,34548.362013124,18165.343466651,"0.835","0.354","0.079","0.441","0.125","-"
"model 5",-15618.839292028,530,34366.4767413177,32924.5621300677,34820.4767413177,17719.320238213,"0.746","0.341","0.135","0.323","0.076","0.126"
