"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17121.6740750178,789,34853.4387908273,34567.6184916386,34943.4387908273,22609.1025537071,"-","1","-","-","-","-"
"model 2",-16165.0343937429,698,33557.0288539669,32982.2124744873,33738.0288539669,20695.8231911573,"0.855","0.553","0.447","-","-","-"
"model 3",-15678.0872371799,607,33200.0039665301,32336.1915067597,33472.0039665301,19721.9288780311,"0.866","0.196","0.452","0.351","-","-"
"model 4",-15482.4660652072,516,33425.6310482741,32272.8225082129,33788.6310482741,19330.6865340858,"0.885","0.449","0.099","0.256","0.196","-"
"model 5",-15285.1781849106,425,33647.9247133703,32206.1200930183,34101.9247133703,18936.1107734927,"0.877","0.24","0.154","0.095","0.407","0.104"
