"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-14651.3448653345,679,29900.7479179246,29614.9568395585,29990.7479179246,19345.7337960049,"-","1","-","-","-","-"
"model 2",-13496.0910834882,588,28194.943632457,27620.1860192984,28375.943632457,17035.2262323123,"0.901","0.475","0.525","-","-","-"
"model 3",-13028.4497536231,497,27864.3642509517,27000.6401030008,28136.3642509517,16099.943572582,"0.915","0.202","0.446","0.352","-","-"
"model 4",-12831.2375901934,406,28074.6432023174,26921.9525195741,28437.6432023174,15705.5192457227,"0.881","0.163","0.303","0.329","0.206","-"
"model 5",-12646.1161829031,315,28309.1036659617,26867.446448426,28763.1036659617,15335.276431142,"0.867","0.214","0.156","0.18","0.173","0.278"
