"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12695.8602194176,612,25981.5744451976,25695.8056461581,26071.5744451976,16323.2390351914,"-","1","-","-","-","-"
"model 2",-11759.2394735367,521,24704.740893202,24130.0280862449,24885.740893202,14449.9975434295,"0.895","0.492","0.508","-","-","-"
"model 3",-11452.3746586025,430,24687.4192031001,23823.7623882254,24959.4192031001,13836.2679135613,"0.874","0.408","0.191","0.401","-","-"
"model 4",-11242.888028219,339,24864.8538820993,23712.253059307,25227.8538820993,13417.2946527941,"0.829","0.117","0.202","0.358","0.323","-"
"model 5",-11079.746119603,248,25134.9780046337,23693.4331739237,25588.9780046337,13091.0108355622,"0.858","0.353","0.173","0.132","0.044","0.298"
