"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12982.0732609074,850,26538.662542626,26271.8857000897,26622.662542626,13421.5157392169,"-","1","-","-","-","-"
"model 2",-12392.424725147,765,25940.7209683547,25403.9913684899,26109.7209683547,12242.2186676961,"0.785","0.285","0.715","-","-","-"
"model 3",-12117.0899633767,680,25971.4069420635,25164.7245848703,26225.4069420635,11691.5491441555,"0.784","0.505","0.22","0.275","-","-"
"model 4",-11956.8483341587,595,26232.279180877,25155.6440663554,26571.279180877,11371.0658857196,"0.813","0.197","0.254","0.404","0.145","-"
"model 5",-11841.7351028541,510,26583.4082155173,25236.8203436672,27007.4082155173,11140.8394231104,"0.787","0.182","0.321","0.17","0.094","0.234"
