"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-16396.5591388885,810,33405.3338064761,33119.5087398512,33495.3338064761,20840.1045217238,"-","1","-","-","-","-"
"model 2",-14947.3176806281,719,31125.868813418,30551.0428460946,31306.868813418,17941.6216052031,"0.933","0.604","0.396","-","-","-"
"model 3",-14369.8927403373,628,30590.0368562988,29726.2099882769,30862.0368562988,16786.7717246214,"0.919","0.427","0.41","0.163","-","-"
"model 4",-14057.287227657,537,30583.8437544007,29431.0159856804,30946.8437544007,16161.5606992608,"0.899","0.391","0.221","0.223","0.165","-"
"model 5",-13820.3289618636,446,30728.9451462764,29287.1164768576,31182.9451462764,15687.644167674,"0.956","0.208","0.323","0.114","0.198","0.156"
