"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17474.0360975491,858,35564.9641003012,35279.1289289805,35654.9641003012,21998.187325818,"-","1","-","-","-","-"
"model 2",-16571.7088149014,767,34384.055794711,33809.2095057215,34565.055794711,20193.5327605226,"0.838","0.527","0.473","-","-","-"
"model 3",-16171.3773139882,676,34207.1390525897,33343.2816459314,34479.1390525897,19392.8697586961,"0.823","0.472","0.121","0.407","-","-"
"model 4",-15970.1432485084,585,34428.4171813353,33275.5486570082,34791.4171813353,18990.4016277365,"0.843","0.37","0.423","0.098","0.109","-"
"model 5",-15822.536129229,494,34756.9492024818,33315.069560486,35210.9492024818,18695.1873891778,"0.821","0.318","0.115","0.132","0.383","0.051"
