"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-48308.2307058636,2307,97316.8390028264,97030.8892206515,97406.8390028264,60059.7686937676,"-","1","-","-","-","-"
"model 2",-45304.7360072565,2216,92018.0091699456,91442.932385794,92199.0091699456,54052.7792965533,"0.866","0.507","0.493","-","-","-"
"model 3",-44008.1781427659,2125,90133.053005298,89268.8492191696,90405.053005298,51459.6635675722,"0.861","0.299","0.304","0.397","-","-"
"model 4",-43433.1119952968,2034,89691.0802746932,88537.7494865881,90054.0802746932,50309.5312726339,"0.863","0.119","0.396","0.283","0.203","-"
"model 5",-43068.9673375451,1943,89670.9505235234,88228.4927334415,90124.9505235234,49581.2419571306,"0.851","0.146","0.116","0.2","0.181","0.357"
