"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-19669.5103361683,1801,39745.4052309889,39573.8485138109,39799.4052309889,13261.0897958135,"-","1","-","-","-","-"
"model 2",-18716.7425122742,1746,38253.7797818278,37907.4893712278,38362.7797818278,11355.5541480252,"0.784","0.484","0.516","-","-","-"
"model 3",-18432.4947818089,1691,38099.1945195247,37578.1704155027,38263.1945195247,10787.0586870948,"0.744","0.324","0.258","0.418","-","-"
"model 4",-18292.301255836,1636,38232.717666206,37536.9598687619,38451.717666206,10506.6716351488,"0.738","0.241","0.394","0.306","0.059","-"
"model 5",-18186.1423436624,1581,38434.3100404861,37563.81854962,38708.3100404861,10294.3538108016,"0.651","0.043","0.287","0.404","0.225","0.042"
