"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9783.77585506796,854,19935.3589065804,19763.8628116707,19989.3589065804,8236.7683312157,"-","1","-","-","-","-"
"model 2",-9011.86333414848,799,18766.1523055645,18419.9842621357,18875.1523055645,6692.94328937673,"0.856","0.385","0.615","-","-","-"
"model 3",-8726.67878490364,744,18570.4016478979,18049.56165595,18734.4016478979,6122.57419088704,"0.826","0.171","0.358","0.471","-","-"
"model 4",-8590.26085730742,689,18672.1842335285,17976.6722930615,18891.1842335285,5849.73833569462,"0.815","0.171","0.161","0.415","0.254","-"
"model 5",-8482.80041712538,634,18831.8817939875,17961.6979050014,19105.8817939875,5634.81745533052,"0.812","0.24","0.092","0.157","0.174","0.337"
