"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.8807427769,1073,24442.9324741321,24096.7088839293,24551.9324741321,8679.68552029792,"0.867","0.677","0.323","-","-","-"
"model 3",-11447.5249590715,1018,24055.3438826094,23534.4203156987,24219.3438826094,7902.97395288707,"0.895","0.607","0.103","0.29","-","-"
"model 4",-11275.5877858559,963,24100.5925120663,23404.9689684477,24319.5925120663,7559.09960645583,"0.764","0.249","0.099","0.25","0.402","-"
"model 5",-11109.9420887595,908,24158.4240937617,23288.1005734353,24432.4240937617,7227.80821226309,"0.889","0.127","0.494","0.24","0.087","0.052"
