"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-14986.4430398644,1266,30360.8969785702,30189.3638279923,30414.8969785702,12459.1048861167,"-","1","-","-","-","-"
"model 2",-13938.3699768977,1211,28659.9471384937,28313.7042975124,28768.9471384937,10362.9587601833,"0.845","0.412","0.588","-","-","-"
"model 3",-13731.6209609759,1156,28641.645392507,28120.6928611223,28805.645392507,9949.4607283397,"0.778","0.413","0.36","0.227","-","-"
"model 4",-13585.4872876127,1101,28744.5743316376,28048.9121098494,28963.5743316376,9657.19338161335,"0.719","0.16","0.261","0.238","0.342","-"
"model 5",-13448.8307009446,1046,28866.4574441581,27996.0855319666,29140.4574441581,9383.880208277,"0.707","0.262","0.141","0.264","0.207","0.126"
