"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-10422.777922326,1017,21222.2786404562,21050.7644799153,21276.2786404562,7902.52171553856,"-","1","-","-","-","-"
"model 2",-9486.90650166532,962,19734.2349430094,19388.0304337695,19843.2349430094,6030.77887421718,"0.908","0.316","0.684","-","-","-"
"model 3",-9240.12958632081,907,19624.380256195,19103.485398256,19788.380256195,5537.22504352816,"0.833","0.257","0.2","0.543","-","-"
"model 4",-9117.49149217942,852,19762.8032117869,19067.2180051488,19981.8032117869,5291.94885524539,"0.76","0.146","0.214","0.38","0.26","-"
"model 5",-9032.85541954357,797,19977.2302103898,19106.9546550526,20251.2302103898,5122.67670997368,"0.74","0.316","0.149","0.083","0.234","0.218"
