"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.8807427769,1073,24442.9324741321,24096.7088839293,24551.9324741321,8679.68552029793,"0.867","0.323","0.677","-","-","-"
"model 3",-11447.5249590715,1018,24055.3438826094,23534.4203156987,24219.3438826094,7902.97395288707,"0.897","0.103","0.29","0.607","-","-"
"model 4",-11276.3342086147,963,24102.085357584,23406.4618139655,24321.085357584,7560.59245197354,"0.841","0.409","0.099","0.229","0.263","-"
"model 5",-11109.942088759,908,24158.4240937608,23288.1005734344,24432.4240937608,7227.80821226219,"0.889","0.24","0.087","0.494","0.052","0.127"
