"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-6865.71141639231,708,14089.7639467917,13918.2905865608,14143.7639467917,5399.67274443896,"-","1","-","-","-","-"
"model 2",-6307.48140600545,653,13338.2809865807,12992.1588335221,13447.2809865807,4283.21272366523,"0.833","0.596","0.404","-","-","-"
"model 3",-6166.53968233172,598,13421.3745997961,12900.6036539097,13585.3745997961,4001.32927631779,"0.813","0.202","0.299","0.499","-","-"
"model 4",-6064.55673247767,543,13582.3857606507,12886.9660219366,13801.3857606507,3797.36337660969,"0.768","0.274","0.247","0.273","0.206","-"
"model 5",-5979.77194367036,488,13777.7932435989,12907.724712057,14051.7932435989,3627.79379899506,"0.687","0.094","0.228","0.156","0.304","0.217"
