"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.880742777,1073,24442.9324741323,24096.7088839294,24551.9324741323,8679.68552029807,"0.867","0.677","0.323","-","-","-"
"model 3",-11447.5249590715,1018,24055.3438826094,23534.4203156988,24219.3438826094,7902.97395288713,"0.896","0.29","0.607","0.103","-","-"
"model 4",-11275.587785856,963,24100.5925120666,23404.968968448,24319.5925120666,7559.09960645612,"0.76","0.099","0.402","0.25","0.249","-"
"model 5",-11109.3211451601,908,24157.182206563,23286.8586862366,24431.182206563,7226.56632506439,"0.882","0.49","0.243","0.13","0.049","0.087"
