"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-13793.7088110516,1282,27976.0791312243,27804.5450022615,28030.0791312243,9968.3467101953,"-","1","-","-","-","-"
"model 2",-13073.0369875292,1227,26930.5944286549,26584.3496127854,27039.5944286549,8527.00306315056,"0.791","0.426","0.574","-","-","-"
"model 3",-12832.3091278433,1172,26844.9976537585,26324.0421509824,27008.9976537585,8045.54734377883,"0.74","0.202","0.398","0.399","-","-"
"model 4",-12674.3356231241,1117,26924.9095887953,26229.2433991127,27143.9095887953,7729.60033434039,"0.747","0.155","0.155","0.369","0.321","-"
"model 5",-12574.9934513457,1062,27122.0841897139,26251.7073131247,27396.0841897139,7530.91599078364,"0.679","0.228","0.155","0.29","0.199","0.128"
