"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9946.89025853978,905,20264.5386351233,20093.0362283252,20318.5386351233,7928.02444436908,"-","1","-","-","-","-"
"model 2",-9143.77639317406,850,19035.9349135104,18689.754129418,19144.9349135104,6321.79671363765,"0.868","0.496","0.504","-","-","-"
"model 3",-8930.60265283683,795,18987.2114419546,18466.3522805677,19151.2114419546,5895.44923296319,"0.817","0.238","0.446","0.316","-","-"
"model 4",-8800.5050315943,740,19104.6402085881,18409.1026699069,19323.6402085881,5635.25399047811,"0.824","0.425","0.261","0.058","0.256","-"
"model 5",-8703.64867752344,685,19288.5515095649,18418.3355935894,19562.5515095649,5441.5412823364,"0.783","0.19","0.088","0.06","0.416","0.246"
