"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9916.12501720832,855,20200.1166695022,20028.6204440299,20254.1166695022,8255.82437420502,"-","1","-","-","-","-"
"model 2",-9274.24201450049,800,19291.0296442663,18944.8613372944,19400.0296442663,6972.05836878936,"0.85","0.51","0.49","-","-","-"
"model 3",-9010.70221202964,745,19138.6290195044,18617.7886310329,19302.6290195044,6444.97876384766,"0.811","0.132","0.423","0.445","-","-"
"model 4",-8904.07897107589,690,19300.0615177766,18604.5490478055,19519.0615177766,6231.73228194016,"0.73","0.095","0.207","0.283","0.416","-"
"model 5",-8810.27350354233,635,19487.1295628893,18616.9450114186,19761.1295628893,6044.12134687305,"0.817","0.208","0.361","0.037","0.089","0.305"
