"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.8807427769,1073,24442.9324741321,24096.7088839293,24551.9324741321,8679.68552029792,"0.867","0.677","0.323","-","-","-"
"model 3",-11447.5249590715,1018,24055.3438826093,23534.4203156987,24219.3438826093,7902.97395288703,"0.887","0.103","0.29","0.607","-","-"
"model 4",-11275.5877858561,963,24100.5925120667,23404.9689684482,24319.5925120667,7559.09960645623,"0.786","0.249","0.099","0.402","0.25","-"
"model 5",-11109.9420887589,908,24158.4240937606,23288.1005734342,24432.4240937606,7227.80821226196,"0.879","0.087","0.052","0.494","0.127","0.24"
