"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12698.4985408246,1387,25789.7440818332,25618.2040709842,25843.7440818332,8102.20409419387,"-","1","-","-","-","-"
"model 2",-11879.7232941005,1332,24552.213681165,24205.9569925995,24661.213681165,6464.65360074576,"0.801","0.315","0.685","-","-","-"
"model 3",-11679.7227494403,1277,24552.2326846246,24031.2593183425,24716.2326846246,6064.65251142533,"0.768","0.292","0.097","0.611","-","-"
"model 4",-11507.2557421236,1222,24607.3187627711,23911.6287187725,24826.3187627711,5719.71849679189,"0.786","0.033","0.247","0.362","0.357","-"
"model 5",-11384.4405993846,1167,24761.7085700731,23891.3018483579,25035.7085700731,5474.08821131387,"0.783","0.102","0.389","0.324","0.151","0.034"
