"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-16117.3052585638,1306,32624.2334759791,32452.6979225712,32678.2334759791,14551.6699156973,"-","1","-","-","-","-"
"model 2",-14588.3081290294,1251,29963.0774157405,29616.8297246023,30072.0774157405,11493.6756566286,"0.9","0.415","0.585","-","-","-"
"model 3",-14278.3714330214,1196,29740.0422225546,29219.0823936861,29904.0422225546,10873.8022646125,"0.831","0.372","0.249","0.379","-","-"
"model 4",-14094.8594405694,1141,29769.8564364807,29074.184469882,29988.8564364807,10506.7782797085,"0.802","0.303","0.134","0.209","0.354","-"
"model 5",-13947.5427998206,1086,29872.0613538132,29001.6772494842,30146.0613538132,10212.1449982108,"0.799","0.292","0.128","0.156","0.217","0.207"
