"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-11236.2658283951,944,22845.442333711,22673.9355350164,22899.442333711,10172.2580289872,"-","1","-","-","-","-"
"model 2",-10292.6681230094,889,21338.0633531368,20991.87370392,21447.0633531368,8285.06261821583,"0.896","0.473","0.527","-","-","-"
"model 3",-9914.81237526087,834,20962.1682878368,20441.2957880978,21126.1682878368,7529.35112271873,"0.894","0.361","0.469","0.169","-","-"
"model 4",-9644.67060164338,779,20801.701170799,20106.1458205376,21020.701170799,6989.06757548374,"0.888","0.157","0.433","0.072","0.338","-"
"model 5",-9510.04304110054,724,20912.2624799104,20042.0242791269,21186.2624799104,6719.81245439807,"0.856","0.441","0.325","0.105","0.092","0.037"
