"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9634.08324816313,938,19640.7515441196,19469.2453986469,19694.7515441196,6704.54737292735,"-","1","-","-","-","-"
"model 2",-9189.79253078075,883,19131.6548802556,18785.4665495791,19240.6548802556,5815.96593816259,"0.781","0.602","0.398","-","-","-"
"model 3",-8992.91269038174,828,19117.3799703582,18596.5094544781,19281.3799703582,5422.20625736457,"0.79","0.101","0.56","0.339","-","-"
"model 4",-8848.66815637338,773,19208.3756732421,18512.8229721583,19427.3756732421,5133.71718934784,"0.784","0.294","0.077","0.092","0.538","-"
"model 5",-8769.74743447522,718,19430.0190003465,18559.784114059,19704.0190003465,4975.87574555152,"0.77","0.408","0.289","0.091","0.135","0.078"
