"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.8807427769,1073,24442.9324741321,24096.7088839292,24551.9324741321,8679.68552029786,"0.867","0.323","0.677","-","-","-"
"model 3",-11447.5249590715,1018,24055.3438826095,23534.4203156988,24219.3438826095,7902.97395288714,"0.88","0.103","0.607","0.29","-","-"
"model 4",-11275.5877858559,963,24100.5925120664,23404.9689684479,24319.5925120664,7559.09960645599,"0.764","0.25","0.099","0.402","0.249","-"
"model 5",-11109.3211451601,908,24157.1822065629,23286.8586862365,24431.1822065629,7226.56632506434,"0.877","0.087","0.13","0.243","0.49","0.049"
