"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9002.66775612153,776,18368.2925000858,18196.8075572086,18422.2925000858,7558.25347927658,"-","1","-","-","-","-"
"model 2",-8470.06791898463,721,17672.7712393554,17326.6257065108,17781.7712393554,6493.05380500276,"0.824","0.433","0.567","-","-","-"
"model 3",-8299.22251303522,666,17700.7588410001,17179.9527181881,17864.7588410001,6151.36299310396,"0.842","0.387","0.085","0.528","-","-"
"model 4",-8181.03794554074,611,17834.0681195546,17138.6014067751,18053.0681195546,5914.993858115,"0.792","0.378","0.249","0.29","0.084","-"
"model 5",-8099.40374247755,556,18040.4781269717,17170.3508242248,18314.4781269717,5751.72545198861,"0.768","0.335","0.073","0.099","0.212","0.28"
