"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9153.14811459352,754,18667.8025803472,18496.3211717222,18721.8025803472,8354.75892236447,"-","1","-","-","-","-"
"model 2",-8505.93542087378,699,17741.5781061264,17395.4397072353,17850.5781061264,7060.333534925,"0.855","0.469","0.531","-","-","-"
"model 3",-8269.64227533411,644,17637.1927282657,17116.3973391085,17801.1927282657,6587.74724384565,"0.86","0.434","0.398","0.168","-","-"
"model 4",-8163.33078369539,589,17792.7706582069,17097.3182787835,18011.7706582069,6375.12426056822,"0.862","0.372","0.162","0.383","0.083","-"
"model 5",-8067.11960900254,534,17968.5492220399,17098.4398523504,18242.5492220399,6182.70191118252,"0.766","0.211","0.232","0.164","0.324","0.068"
