"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12782.7536447206,1128,25947.5553021313,25776.0316886363,26001.5553021313,10573.4313241852,"-","1","-","-","-","-"
"model 2",-11835.8807427769,1073,24442.9324741321,24096.7088839293,24551.9324741321,8679.68552029789,"0.867","0.323","0.677","-","-","-"
"model 3",-11447.5249590714,1018,24055.3438826092,23534.4203156985,24219.3438826092,7902.97395288687,"0.896","0.29","0.103","0.607","-","-"
"model 4",-11275.5877858559,963,24100.5925120665,23404.9689684479,24319.5925120665,7559.099606456,"0.801","0.25","0.249","0.099","0.402","-"
"model 5",-11109.3192778685,908,24157.1784719796,23286.8549516532,24431.1784719796,7226.56259048102,"0.897","0.129","0.087","0.049","0.243","0.491"
