"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9947.4382942257,912,20266.0274354989,20094.5242143255,20320.0274354989,7444.13276773842,"-","1","-","-","-","-"
"model 2",-9332.80225098493,857,19414.779359899,19068.5969319751,19523.779359899,6214.86068125688,"0.807","0.441","0.559","-","-","-"
"model 3",-9091.73558461919,802,19310.6700380492,18789.8084033747,19474.6700380492,5732.7273485254,"0.803","0.121","0.455","0.424","-","-"
"model 4",-8993.66802161259,747,19492.5589229177,18797.0180814925,19711.5589229177,5536.5922225122,"0.762","0.366","0.213","0.055","0.367","-"
"model 5",-8905.70541659916,692,19694.6577237726,18824.4376755968,19968.6577237726,5360.66701248535,"0.811","0.35","0.244","0.157","0.192","0.058"
