"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-15674.7636747548,794,31960.1284851471,31674.3070303328,32050.1284851471,19684.5462985879,"-","1","-","-","-","-"
"model 2",-14377.8376585856,703,29983.6620455087,29408.8433419378,30164.6620455087,17090.6942662495,"0.891","0.565","0.435","-","-","-"
"model 3",-13772.2479640785,612,29389.8682491944,28526.0522968669,29661.8682491944,15879.5148772352,"0.927","0.416","0.475","0.109","-","-"
"model 4",-13493.1240131343,521,29449.0059400061,28296.192738922,29812.0059400061,15321.2669753469,"0.948","0.09","0.224","0.331","0.354","-"
"model 5",-13321.6131961552,430,29723.3698987479,28281.5594489072,30177.3698987479,14978.2453413886,"0.998","0.324","0.226","0.083","0.32","0.047"
