"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-27951.9114623091,1450,56564.381317205,56278.4732797581,56654.381317205,34502.3609039655,"-","1","-","-","-","-"
"model 2",-25463.7778642414,1359,52256.0120513516,51681.0192204861,52437.0120513516,29526.0937078301,"0.905","0.447","0.553","-","-","-"
"model 3",-24843.8506257771,1268,51684.0555047051,50819.9778804211,51956.0555047051,28286.2392309015,"0.897","0.412","0.447","0.141","-","-"
"model 4",-24468.5425856139,1177,51601.3373546607,50448.1749369582,51964.3373546607,27535.623150575,"0.866","0.35","0.094","0.207","0.349","-"
"model 5",-24211.2093377626,1086,51754.5687892403,50312.3215781192,52208.5687892403,27020.9566548725,"0.789","0.327","0.104","0.05","0.322","0.197"
