"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-12594.2568258306,578,25773.8995872795,25488.1438010445,25863.8995872795,16784.5083986223,"-","1","-","-","-","-"
"model 2",-11551.8321204422,487,24280.9404002945,23706.2537635331,24461.9404002945,14699.6589878455,"0.902","0.468","0.532","-","-","-"
"model 3",-10967.090306871,396,23703.3469969441,22839.7295096562,23975.3469969441,13530.1753607032,"0.925","0.419","0.411","0.171","-","-"
"model 4",-10683.6072945065,305,23728.2711960067,22575.7228581924,24091.2711960067,12963.209335974,"0.902","0.147","0.408","0.348","0.097","-"
"model 5",-10513.0916846395,214,23979.1302000647,22537.6510117239,24433.1302000647,12622.1781162402,"0.803","0.319","0.096","0.139","0.06","0.386"
