"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-14435.790910107,702,29472.2923454772,29186.4944869949,29562.2923454772,18445.857635812,"-","1","-","-","-","-"
"model 2",-13445.7255993343,611,28099.5468105871,27524.7755618615,28280.5468105871,16465.7270142668,"0.866","0.485","0.515","-","-","-"
"model 3",-13068.6408002337,520,27952.7622990409,27089.017660072,28224.7622990409,15711.5574160655,"0.864","0.242","0.402","0.356","-","-"
"model 4",-12875.4172147758,429,28173.7002147802,27020.982185568,28536.7002147802,15325.1102451497,"0.875","0.212","0.406","0.129","0.253","-"
"model 5",-12683.8725440076,338,28397.9959598989,26956.3045404434,28851.9959598989,14942.0209036132,"0.884","0.142","0.22","0.088","0.249","0.301"
