"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17304.7050030717,889,35229.1978539712,34943.356682773,35319.1978539712,21866.2561985272,"-","1","-","-","-","-"
"model 2",-15480.1472633201,798,32206.7567539382,31631.8983985285,32387.7567539382,18217.140719024,"0.934","0.552","0.448","-","-","-"
"model 3",-14767.7455349286,707,31408.6276766254,30544.7521370042,31680.6276766254,16792.3372622409,"0.91","0.175","0.489","0.336","-","-"
"model 4",-14486.6244699174,616,31473.0599260733,30320.1672022406,31836.0599260733,16230.0951322185,"0.901","0.164","0.069","0.323","0.444","-"
"model 5",-14261.7296610823,525,31649.9446878734,30208.0347798292,32103.9446878734,15780.3055145483,"0.869","0.244","0.24","0.168","0.288","0.059"
