"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-14054.8431780564,687,28708.6759876458,28422.8825055098,28798.6759876458,17998.8889609696,"-","1","-","-","-","-"
"model 2",-12988.0903028112,596,27180.815309039,26606.0528616321,27361.815309039,15865.3832104793,"0.9","0.433","0.567","-","-","-"
"model 3",-12606.975934883,505,27024.2316450659,26160.5002323881,27296.2316450659,15103.1544746228,"0.899","0.171","0.457","0.372","-","-"
"model 4",-12388.4957643469,414,27192.9163758773,26040.2159979287,27555.9163758773,14666.1941335507,"0.88","0.194","0.103","0.385","0.318","-"
"model 5",-12234.0723234786,323,27489.7145660242,26048.0452228046,27943.7145660242,14357.3472518141,"0.863","0.221","0.235","0.243","0.106","0.196"
