"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-19285.3516212364,1250,39218.7414828379,38932.8508663193,39308.7414828379,20679.229884107,"-","1","-","-","-","-"
"model 2",-17756.3012855253,1159,36815.8794766737,36240.9216812309,36996.8794766737,17621.1292126849,"0.877","0.322","0.678","-","-","-"
"model 3",-17309.7928280824,1068,36578.1012270458,35714.0762526788,36850.1012270458,16728.112297799,"0.841","0.326","0.577","0.097","-","-"
"model 4",-17061.8847358171,977,36737.5237077732,35584.4315544819,37100.5237077732,16232.2961132684,"0.765","0.224","0.312","0.37","0.093","-"
"model 5",-16851.050234543,886,36971.093370483,35528.9340382674,37425.093370483,15810.6271107202,"0.816","0.327","0.081","0.374","0.039","0.18"
