"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-19669.2748157189,992,39967.3406127843,39681.4819730864,40057.3406127843,25785.0148173274,"-","1","-","-","-","-"
"model 2",-17200.7316082797,901,35666.0317457119,35091.1382592083,35847.0317457119,20847.9284024491,"0.94","0.54","0.46","-","-","-"
"model 3",-16569.662470124,810,35039.6710172065,34175.7426838972,35311.6710172065,19585.7901261376,"0.896","0.238","0.333","0.428","-","-"
"model 4",-16190.4456762446,719,34917.0149772538,33764.0517971388,35280.0149772538,18827.356538379,"0.892","0.226","0.201","0.425","0.148","-"
"model 5",-15874.7527113382,628,34921.406595247,33479.4085683263,35375.406595247,18195.9706085662,"0.913","0.097","0.249","0.412","0.137","0.106"
