"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-21575.8653289907,1109,43789.7625419339,43503.8876972373,43879.7625419339,27144.5611926519,"-","1","-","-","-","-"
"model 2",-19265.2564905928,1018,39813.6659922457,39238.7399156892,39994.6659922457,22523.3435158562,"0.936","0.522","0.478","-","-","-"
"model 3",-18589.804420423,927,39107.8829790136,38243.9056705972,39379.8829790136,21172.4393755166,"0.899","0.11","0.421","0.468","-","-"
"model 4",-18254.370354613,836,39082.1359745011,37929.1074342248,39445.1359745011,20501.5712438966,"0.883","0.29","0.097","0.359","0.254","-"
"model 5",-18032.9887066086,745,39284.4938055998,37842.4140334636,39738.4938055998,20058.8079478878,"0.859","0.193","0.303","0.077","0.294","0.132"
