"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-31613.6065658206,1408,63885.2828864081,63599.378121748,63975.2828864081,41739.0690363305,"-","1","-","-","-","-"
"model 2",-28891.299532612,1317,59106.0504609219,58531.0642119943,59287.0504609219,36294.4549699133,"0.927","0.35","0.65","-","-","-"
"model 3",-27713.1394996963,1226,57415.1120360217,56551.0443028266,57687.1120360217,33938.134904082,"0.922","0.275","0.559","0.167","-","-"
"model 4",-27070.3256945452,1135,56794.8660666504,55641.7168491879,57157.8660666504,32652.5072937797,"0.913","0.276","0.126","0.347","0.25","-"
"model 5",-26634.7861782519,1044,56589.1686749948,55146.9379732648,57043.1686749948,31781.428261193,"0.935","0.109","0.256","0.255","0.23","0.15"
