"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-9119.07052193133,938,18862.324384004,18576.4744664415,18952.324384004,6667.62419488978,"-","1","-","-","-","-"
"model 2",-8491.48957382225,847,18238.2811983732,17663.405253053,18419.2811983732,5412.46229867161,"0.753","0.586","0.414","-","-","-"
"model 3",-8259.6522667763,756,18405.7252948687,17541.8233217908,18677.7252948687,4948.78768457972,"0.775","0.372","0.092","0.536","-","-"
"model 4",-8060.25987366061,665,18638.0592192247,17485.1312183891,19001.0592192247,4550.00289834834,"0.809","0.497","0.059","0.052","0.392","-"
"model 5",-7916.70525971056,574,18982.068701912,17540.1146733187,19436.068701912,4262.89367044824,"0.811","0.05","0.211","0.234","0.449","0.056"
