"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-16852.344002922,773,34313.1253280414,34027.3088167365,34403.1253280414,22041.7574264784,"-","1","-","-","-","-"
"model 2",-16040.7057639309,682,33305.0465869478,32730.2378253234,33486.0465869478,20418.4809484962,"0.851","0.493","0.507","-","-","-"
"model 3",-15701.928352223,591,33242.6895004206,32378.8884884768,33514.6895004206,19740.9261250804,"0.817","0.24","0.47","0.29","-","-"
"model 4",-15522.2676989959,500,33498.5659308551,32345.7726685917,33861.5659308551,19381.6048186263,"0.782","0.187","0.263","0.219","0.332","-"
"model 5",-15364.8418503941,409,33798.9119705402,32357.1264579574,34252.9119705402,19066.7531214228,"0.787","0.297","0.17","0.277","0.113","0.143"
