"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17407.9561406446,993,35444.7864035192,35158.9276104955,35534.7864035192,19979.3523204382,"-","1","-","-","-","-"
"model 2",-16333.2169214184,902,33931.169577544,33356.2757826853,34112.169577544,17829.873881986,"0.855","0.378","0.622","-","-","-"
"model 3",-15976.8875364881,811,33854.3724201604,32990.4436234665,34126.3724201604,17117.2151121252,"0.841","0.346","0.579","0.075","-","-"
"model 4",-15736.7967917303,720,34010.052543122,32857.0887445931,34373.052543122,16637.0336226097,"0.798","0.051","0.395","0.234","0.319","-"
"model 5",-15580.3285799397,629,34332.9777320178,32890.9789316538,34786.9777320178,16324.0971990284,"0.763","0.421","0.134","0.147","0.052","0.246"
