"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-17181.5351883515,825,34976.7735425778,34690.9452044748,35066.7735425778,22114.2460040222,"-","1","-","-","-","-"
"model 2",-15974.2521951448,734,33182.7296461044,32607.897099475,33363.7296461044,19699.6800176087,"0.898","0.59","0.41","-","-","-"
"model 3",-15689.225024655,643,33233.197395065,32369.3606399092,33505.197395065,19129.6256766292,"0.858","0.283","0.283","0.433","-","-"
"model 4",-15480.6385524847,552,33436.5465406644,32283.7055769822,33799.5465406644,18712.4527322886,"0.854","0.267","0.264","0.192","0.277","-"
"model 5",-15339.9027522178,461,33775.5970300708,32333.7518578622,34229.5970300708,18430.9811317549,"0.806","0.107","0.226","0.125","0.28","0.261"
