"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-18061.6941410606,944,36748.0953870774,36462.2444554436,36838.0953870774,22749.5166062582,"-","1","-","-","-","-"
"model 2",-16574.2418675883,853,34404.8391351439,33829.9611504139,34585.8391351439,19774.6120593135,"0.875","0.424","0.576","-","-","-"
"model 3",-15717.7192039449,762,33323.4421028684,32459.537065042,33595.4421028684,18061.5667320267,"0.872","0.405","0.434","0.161","-","-"
"model 4",-15324.2750226955,671,33168.2020353809,32015.2699444582,33531.2020353809,17274.6783695281,"0.888","0.425","0.068","0.11","0.397","-"
"model 5",-15063.6882093764,580,33278.6767037539,31836.7175597349,33732.6767037539,16753.5047428898,"0.914","0.115","0.049","0.206","0.344","0.286"
