"model","log-likelihood","resid. df","BIC","ABIC","cAIC","likelihood-ratio","Entropy","Class1","Class2","Class3","Class4","Class5"
"model 1",-18578.0844891345,857,37772.9658966557,37487.1309254126,37862.9658966557,24310.9392551438,"-","1","-","-","-","-"
"model 2",-17444.1014438151,766,36128.6500234968,35553.8041368856,36309.6500234968,22042.973164505,"0.879","0.482","0.518","-","-","-"
"model 3",-17020.8981188148,675,35905.8935909763,35042.0367889969,36177.8935909763,21196.5665145045,"0.861","0.338","0.354","0.308","-","-"
"model 4",-16735.2060472519,584,35958.1596653304,34805.291947983,36321.1596653304,20625.1823713787,"0.868","0.319","0.328","0.227","0.126","-"
"model 5",-16543.816273246,493,36199.0303347985,34757.151702083,36653.0303347985,20242.4028233669,"0.873","0.301","0.096","0.334","0.129","0.14"
